"employee_id","schoolName","fieldOfStudy","degreeName"
"t_28","KU Leuven","Biomedical/Medical Engineering","Doctor of Philosophy - PhD"
"t_28","University POLITEHNICA of Bucharest","Information Technology and Computing - “Imagistics, Bioinformatics, and Complex Systems” ","Master of Science - MS"
"t_29","Kellogg Executive Education","Organizational Leadership","Leading with big data and analitycs"
"t_29","Ghent University","Bioinformatics","Doctor of Philosophy (PhD)"
"t_29","University of Leuven","Biological/Biosystems Engineering","Doctor of Philosophy (PhD)"
"t_30","KU Leuven","Statistical modelling","PhD"
"t_30","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_30","Universiteit Antwerpen","Communication","Bachelor "
"t_31","GrowForce Academy","Growth Marketing","Online Growth Marketeer"
"t_31","Ghent University","Advanced Master of Science in Marketing Analytics","Advanced Master"
"t_31","KU Leuven","Marketing  / Commerciële economie (CE) - Specialisatie marketing management","Master's degree"
"t_32","KU Leuven","Biomedical Sciences, General","PhD researcher"
"t_32","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_32","Universidad Nacional de Colombia","Estadística","Bachelor of Science (BS)"
"t_33","University of Leuven","Statistics","Master of Science (M.S.)"
"t_33","Johns Hopkins University on Coursera",NA,"Specialization Certificate, Data Science"
"t_33","California State University-Northridge","Finance","Bachelor of Science"
"t_34","Katholieke Universiteit Leuven","Business Economics","Master’s Degree"
"t_34","Istanbul University","Economics (in English)","Bachelor’s Degree"
"t_34","Ekonomická univerzita v Bratislave",NA,"Erasmus Exchange Program"
"t_35","KU Leuven",NA,"Doctoral Programme in Engineering Technology and Psychology"
"t_35","KU Leuven","Information Management","Master of Science"
"t_35","KU Leuven","Artificial Intelligence","Master of Science"
"t_36","KU Leuven","urn:li:fs_fieldOfStudy:101474","Additonal finance courses  (completed)"
"t_36","KU Leuven","Actuarial Science","Master in the Science of Financial and Actuarial Engineering"
"t_36","KU Leuven","Mathematics and Statistics","Master in the Science of Statistics"
"t_37","University of Leuven","Statistics","Master's degree"
"t_37","M.O.P. Vaishnav College For Women","Mathematics","Bachelor's degree"
"t_38","KU Leuven",NA,"Master of Statistics and Data Science"
"t_38","KU Leuven","Business Administration and Management, Statistics and Data Analysis","Bachelor of Business Administration - BBA"
"t_39","University of Antwerp","Physics - Statistical Mechanics","Doctor of Philosophy (Ph.D.)"
"t_39","KU Leuven","Big Data & Analytics in Business and Management","Postgraduate"
"t_39","Ankara Üniversitesi","Physics","Bachelor’s Degree"
"t_40","KU Leuven","Statistics","Master's degree"
"t_40","KU Leuven","Psychologie","Bachelorgraad"
"t_41","KU Leuven","Innovation and Entrepreneurship","Postgraduate"
"t_41","KU Leuven","Computer Engineering - Human Computer Interaction","Master of Engineering (MEng)"
"t_41","KU Leuven","Electrical and Electronics Engineering and Computer Science","Bachelor of Engineering (BEng)"
"t_42","KU Leuven","Nuclear Physics","Master's degree"
"t_43","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_43","KU Leuven","Psychology","Bachelor's degree"
"t_43","Kunstschool Genk","Architecturale Vorming (ARV)","Kunstsecundair onderwijs (KSO)"
"t_44","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_44","KU Leuven","Master of Science - MSc, Psychology - Theory & Research","Master of Science - MS"
"t_44","Vrije Universiteit Brussel","Psychology (Biological and Lifespan)","Bachelor of Science - BS"
"t_45","The University of Hong Kong","Computational Vision","Doctor of Philosophy - PhD"
"t_45","University of Leuven","Artificial Intelligence","Master’s Degree"
"t_45","Maastricht University","Neuroimaging","Research Master’s Degree"
"t_46","Barcelona Graduate School of Economics","Data Science","Master's degree"
"t_46","Barcelona Graduate School of Economics","Barcelona Macroeconometrics Summer School (BMaSS)",NA
"t_46","Lake Como School of Advanced Studies","Summer School in Modern Bayesian Methods and Computing for the Social Sciences",NA
"t_47","KU Leuven","Statistics and Data Science","Master's degree"
"t_47","Istanbul Technical University","Telecommunications Engineering","Yüksek Lisans (Master)"
"t_47","Turkish National Defense University","Telecommunications Engineering","Bachelor's degree"
"t_48","KU Leuven","Statistics and Data Science","Master's degree"
"t_48","Instituto Tecnológico de Aeronáutica - ITA","Data Science","Specialization"
"t_48","FIA - Fundação Instituto de Administração","Big Data Analytics","Specialization"
"t_49","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_49","University of Utah","Public Health","Bachelor of Science - BS"
"t_50","University of Leuven","Statistics","Master of Science (M.Sc.)"
"t_50","Ludwig-Maximilians Universität München","Statistics","Bachelor of Science (B.Sc.)"
"t_51","KU Leuven","Electrical Engineering","MSc."
"t_51","Ecole polytechnique fédérale de Lausanne","MSc in Electrical Engineering",NA
"t_51","KU Leuven","BSc in Electrical Engineering",NA
"t_52","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_52","Université Grenoble Alpes","Development Economics and International Development","Master's degree"
"t_52","Université Grenoble Alpes","Major in Applied Economics","Bachelor of Laws, Economics and Business"
"t_53","KU Leuven","Artificial Intelligence","Master's degree"
"t_53","Universidad Autónoma de Madrid",NA,"Matematicas e Ingeniería Informática"
"t_54","KU Leuven","MACHINE LEARNING FOR ENERGY PERFORMANCE PREDICTION IN EARLY DESIGN STAGE OF BUILDINGS","Doctor of Engineering Science"
"t_54","Eindhoven University of Technology","Sustainable Energy Technology","Msc"
"t_54","Vellore Institute of Technology","Mechanical Engineering","B.Tech"
"t_55","KU Leuven","Statistics and Data Science","MS"
"t_55","UCSD Extension","Finance","LAUNCH Program"
"t_55","UC San Diego","Economics","BA"
"t_56","KU Leuven","Social Data Science","Master's degree"
"t_56","University of Warsaw","Philosophy","Bachelor's degree"
"t_56","KU Leuven","Philosophy","Exchange student"
"t_57","Erasmus School of Economics","Quantitative Finance ","Master of Science - MS"
"t_57","KU Leuven","urn:li:fs_fieldOfStudy:100340","Master of Science - MS Chemical Engineering"
"t_57","KU Leuven","Major: Chemical Engineering, Minor: Mechanical Engineering","Bachelor of Science - BS"
"t_58","KU Leuven","Statistics","Master's degree"
"t_58","Foreign Trade University",NA,"Bachelor of Business Administration - BBA"
"t_59","KU Leuven","Statistics and Data Science - Theoretical track","Master of Science - MS"
"t_59","Universidad Politécnica de Madrid","Industrial Engineering - Environmental Chemistry","Bachelor of Science - BS"
"t_59","Universidad Politécnica de Madrid","Aerospace Engineering","Bachelor of Science - BS"
"t_60","Katholieke Universiteit Leuven","Bioinformatics",NA
"t_60",NA,"Biostatistics","MSc"
"t_60","University of Antwerp","Biology","MSc"
"t_61","KU Leuven","Business Economics","Doctor of Philosophy - PhD"
"t_61","University of Antwerp","Business Administration: Marketing","Master's degree"
"t_62","University of Liège","Architecture and Urban Planning","Doctor of Philosophy - PhD"
"t_62","University of Leuven","Social, Behavioral and Educational Statistics","Master's degree"
"t_62","VNU University of Science","Waste Management and Contaminated Site Treatment","Master of Science"
"t_63","KU Leuven","Machine Learning, Software Engineering","Doctor of Philosophy - PhD"
"t_63","Faculty of Electrical Engineering, University of Banja Luka","Electronics and Telecommunications","Master’s Degree"
"t_63","Faculty of Electrical Engineering, University of Banja Luka","Electronics and telecommunications","Bachelor’s Degree"
"t_64","KU Leuven","Statistics and data science","Master of Science - MS"
"t_64","Vrije Universiteit Brussel","International Business","Master of Science - MS"
"t_64","National Economics University (Vietnam)","Marketing/Marketing Management, General","Barchelor of Marketing"
"t_65","KU Leuven","Artificial Intelligence","Master of Science - MS"
"t_65","University of Leuven","Information Systems Engineering","Master of Science (M.Sc.)"
"t_65","Katholieke Universiteit Leuven","Information Systems Engineering","Bachelor of Science (B.Sc.)"
"t_66","KU Leuven","Statistics","Master of Science - MS"
"t_66","Waseda University","Political Science","Bachelor of Arts - BA"
"t_66","Ludwig-Maximilians-Universität München",NA,"Exchange "
"t_67","Katholieke Universiteit Leuven","Specific Teacher Training in Natural Sciences",NA
"t_67","University of Antwerp","vaccinology","summer school"
"t_67","KU Leuven","Biology","Doctor of Philosophy - PhD"
"t_68","KU Leuven","Statistics","Master's Degree"
"t_68","UCL","Statistics, Economics and Finance","Bachelor of Science (BSc)"
"t_68","Bellerbys College","Mathematics and Economics","A Level"
"t_69","KU Leuven",NA,"MSc Statistics and Data Science (Business track)"
"t_69","University of Pretoria/Universiteit van Pretoria",NA,"BSc (Hons) Mathematical statistics"
"t_69","University of Pretoria/Universiteit van Pretoria","urn:li:fs_fieldOfStudy:101474","BSc Actuarial and Financial Mathematics"
"t_70","KU Leuven","Statistics & Data Science","Master's degree"
"t_70","Universidad Nacional Autónoma de México","Actuarial Sciences","Bachelor of Applied Science - BASc"
"t_71","KU Leuven","Statistics and Data Science","Master's degree"
"t_71","Kiel University","Quantitative Economics",NA
"t_71","European-University Viadrina","Quantitative Methods","Bachelor’s Degree"
"t_72","KU Leuven","Chemometrics and Multivariate Statistics","Doctor of Philosophy - PhD"
"t_72","University of Leuven","Biomolecular Engineering","Master’s Degree"
"t_72","University of Leuven","Biochemistry and Molecular Biology","Bachelor’s Degree"
"t_73","KU Leuven",NA,"Courses Master in Artificial Intelligence"
"t_73","KU Leuven","Master in Quantitative Analysis",NA
"t_73","Universiteit Gent","Conflict And Development","Manama"
"t_74","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_74","KU Leuven","Business Administration","Bachelor of Science - BS"
"t_74","The University of Sheffield","Business Administration","Exchange Semester"
"t_75","Technical University of Munich",NA,"Doctor of Philosophy - PhD"
"t_75","University of Leuven","Bioinformatics","Master's degree"
"t_75","Vellore Institute of Technology","Bioinformatics","B.Tech"
"t_76","University of Leuven","Biomedical Sciences, General","Doctor of Philosophy (Ph.D.)"
"t_76","Universite de Lorraine","Science, Technology and Health","Master’s Degree"
"t_76","Ecole nationale d'Ingénieurs de Metz","Mechanical Engineering","Master’s Degree"
"t_77","KU Leuven","Statistics","Master's degree"
"t_77","University of Washington","Clinical Trials","Certificate"
"t_77","University of Washington","Molecular, Cellular, & Developmental Biology","BS"
"t_78","KU Leuven","Statistics","Master's degree"
"t_78","Università di Trento","Sociology","Bachelor's degree"
"t_78","Norwegian University of Science and Technology (NTNU)",NA,"Erasmus +"
"t_79","KU Leuven","Business Statistics","Master of Science - MS"
"t_79","KU Leuven Faculty of Engineering Technology - De Nayer Campus","Materials Engineering","Master's degree"
"t_79","National Institute of Technology Warangal","Metallurgical and Materials engineering","Bachelor of Technology - BTech"
"t_80","KU Leuven","Business Information Management","Master of Business Administration - MBA"
"t_80","KU Leuven","Business, Management, Marketing, and Related Support Services","Bachelor of Business Administration - BBA"
"t_80","KEDGE Business School","Business Administration, Management and Operations","Erasmus Exchange Program for one semester "
"t_81","KU Leuven","Statistics and data science","Master of Science - MS"
"t_81","Vrije Universiteit Brussel","International Business","Master of Science - MS"
"t_81","National Economics University (Vietnam)","Marketing/Marketing Management, General","Barchelor of Marketing"
"t_82","Katholieke Universiteit Leuven","Research Methodology and Quantitative Methods","(Advanced) Master of Advanced Business Studies"
"t_82","Lessius Hogeschool Antwerpen","Marketing Management","Master of Science in Business Studies"
"t_82","Lessius Hogeschool Antwerpen","Business Studies","Bachelor of Science in Business Studies"
"t_83","Erasmus University Rotterdam","Data Science and Marketing Analytics","MSc"
"t_83","KU Leuven","Statistics","Erasmus study"
"t_83","Ekonomická univerzita v Bratislave","Finance - Banking","Master's degree"
"t_84","KU Leuven","Statistics","Master of Science - MS"
"t_84","Vrije Universiteit Brussel","Business Economics","Bachelor of Science - BS"
"t_84","Vrije Universiteit Brussel","Political Science and Government","Bachelor of Science - BS"
"t_85","KU Leuven",NA,"MSc in Statistics and Data Science (In progress)"
"t_85","University of Copenhagen",NA,"MSc in Economics (cand.polit.)"
"t_85","University of Copenhagen",NA,"BSc in Economics"
"t_86","KU Leuven","Artificial intelligence and data science","Master of Science in Engineering"
"t_86","KTH Royal Institute of Technology","Machine learning","Master's degree"
"t_86","KU Leuven","Major Computer Science, minor electronical engineering","Bachelor of Engineering - BE"
"t_87","University of Leuven",NA,"Doctor of Business Economics (PhD)"
"t_87","Katholieke Universiteit Leuven","Business Engineer","Master"
"t_87","Brock University","Graduate Studies",NA
"t_88","KU Leuven","Business Statistics","Master of Science - MS"
"t_88","Georg-August-Universität Göttingen","International Economics","Master's degree"
"t_88","Universidad Nacional Autónoma de México","Ciencias Políticas y Administración Pública","Bachelor's degree"
"t_89","KU Leuven","Statistics","Master of Science"
"t_89","University of Southern California","Economics","Bachelor of Arts"
"t_90","University of Leuven","Statistics","Master of Science (M.Sc.)"
"t_90","Ludwig-Maximilians Universität München","Statistics","Bachelor of Science (B.Sc.)"
"t_91","KU Leuven","Statistiek (Statistics)","Master's degree"
"t_91","Universiteit Twente","Communicatiewetenschappen","Bachelor's degree"
"t_92","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_92","Politecnico di Torino","Mathematics for Engineering","Bachelor's degree"
"t_93","KU Leuven","Artificial Intelligence - Big Data Analytics","Master of Science - MS"
"t_93","KU Leuven","Electronics and ICT Engineering Technology","Master of Science - MS"
"t_94","KU Leuven","Statistics and Data Science","Master of Science - MSc"
"t_94","University of Crete"," Applied Mathematics","Bachelor's degree"
"t_95","Katholieke Universiteit Leuven","Psychology","Master of Science (MSc)"
"t_95","Freie Universität Berlin","Research in Psychology","Erasmus year (3rd Bachelor)"
"t_95","Sint-Jozefscollege Sint-Pieters-Woluwe",NA,NA
"t_96","KU Leuven","Biometrics","Master of Science - MS"
"t_97","Vlerick Business School","Leaning To Speak Business",NA
"t_97","KU Leuven","Toegepaste informatica: Artificial Intelligence","Master of Science (M.S.)"
"t_97","KU Leuven","Toegepaste Informatica","Schakelprogramma voor Master"
"t_98","KU Leuven","Statistics","Master's Degree"
"t_98","Université Montpellier I","Economics","Erasmus in France - Montpellier (10 months)"
"t_98","Università di Bologna","Statistics","Bachelor's degree"
"t_99","Concordia University","Economics","Master of Arts (M.A.)"
"t_99","Katholieke Universiteit Leuven (KU Leuven)","Environmental and Transportation economics, Industrial organization","Master of Science, Master of Advanced Studies in Economics"
"t_99","Katholieke Universiteit Leuven (KU Leuven)","Development Economics, Macroeconomics, Econometrics","Master of Science, Master of Economics"
"t_100","KU Leuven","Economics","Doctor of Philosophy (PhD)"
"t_100","Aalto University","Current Topics in Quantitative Methods",NA
"t_100","KU Leuven","Advanced Studies in Economics","Master of Science (MSc)"
"t_101","University of Leuven","Statistics","Master's degree"
"t_101","University of Gondar","Applied Mathematics","Bachelor's degree"
"t_102","University of Leuven","Statistics","Master's Degree"
"t_102","The University of Edinburgh","Electrical and Electronics Engineering","Bachelor's Degree"
"t_102","Xiamen University","Electronic Information Science","Bachelor's Degree"
"t_103","KU Leuven","Statistics and Data Science","Master's degree"
"t_103","KU Leuven","European Master in Official Statistics","Master's degree"
"t_103","KU Leuven","Political Sciences and Sociology","Bachelor's degree"
"t_104","KU Leuven","Statistics","Master's degree"
"t_104","KU Leuven","Quantitative Analysis in the Social Sciences","Master's degree"
"t_104","Université du Québec à Montréal","Sociology","Bachelor’s Degree"
"t_105","KU Leuven","Artificial Intelligence","Master's degree"
"t_105","Forman Christian College (A Chartered University)","Computer Science","Bachelor’s Degree"
"t_106","University of Leuven","Engineering","PhD"
"t_106","University of Leuven","Engineering (artificial intelligence)","Master (advanced)"
"t_106","University of Belgrade","Engineering (information systems)","Dipl. Ing. (master)"
"t_107","KU Leuven","Statistics","Master of Science (M.Sc.)"
"t_107","University of Mannheim","Economics","Bachelor of Science (B.Sc.)"
"t_107","Christian von Mannlich Gymnasium Homburg",NA,NA
"t_108","KU Leuven","Statistics","Master’s Degree"
"t_108","Dimokrition Panepistimion Thrakis","Hydraulic Engineering","Master's Degree"
"t_108","Dimokrition Panepistimion Thrakis","Civil Engineering","Master of Engineering (MEng) 5-year diploma + thesis"
"t_109","Le Wagon",NA,"Data Science Bootcamp"
"t_109","University of Reading",NA,"Ph.D in Neuroscience"
"t_109","KU Leuven","Bioscience engineeering","Master of Science (MSc)"
"t_110","KU Leuven","Biostatistics","Doctor of Philosophy (Ph.D.)"
"t_110","Universiteit Gent","Biomedical Engineering","Master's Degree"
"t_110","Vrije Universiteit Brussel","Electronic Engineering","Bachelor's Degree"
"t_111","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_111","Christ University, Bangalore","Economics, Mathematics, Statistics","Bachelor of Science Triple Majors"
"t_112","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_112","Nanyang Technological University","Mathematics","Bachelor's degree"
"t_112","University of Zurich","Mathematics","Exchange study"
"t_113","KU Leuven","Quantitative Analysis in the Social Sciences (1-year track within Master of Science in Statistics)","Master"
"t_113","Universiteit Antwerpen","Politieke wetenschappen (Political Science)","Master"
"t_113","Universiteit Antwerpen","Politieke wetenschappen (Political Science)","Bachelor's degree"
"t_114","University of Antwerp",NA,"Master of Computer Science: Data Science and Artificial Intelligence"
"t_114","KU Leuven","Internet Computing","Master of Electronics and ICT Engineering Technology"
"t_114","DTU - Technical University of Denmark",NA,"Exchange Program"
"t_115","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_115","Charles University",NA,"Master of Science - MS"
"t_115","KU Leuven","Economics","Master of Science - MS"
"t_116","KU Leuven","Speech and Language Technology","Advanced Masters in Artificial Intelligence"
"t_116","SRM University","Electrical, Electronics and Communications Engineering","Bachelor of Technology"
"t_117","University of Antwerp","Physics","Doctor of Philosophy - PhD"
"t_117","KU Leuven","Materials Engineering (Burgerlijk ingenieur)","Master’s Degree"
"t_117","KTH Royal Institute of Technology","Materials Engineering","Master's Degree"
"t_118","Ironhack","Data Modeling/Warehousing, Database Administration and Machine Learning","Data Analytics"
"t_118","KU Leuven","Master of Business Administration (MSc): Major in Business Information Management","Master's degree"
"t_118","Hanyang University","Business Administration and Management, General","Bachelor of Business Administration - BBA"
"t_119","KU Leuven","Statistics","Master of Science - MS"
"t_119","University of Alberta","Graduate studies: Academic English for Graduate Admission",NA
"t_119","Tokyo Metropolitan University","Physics","Bachelor’s Degree"
"t_120","KU Leuven","Statistics - major biometrics","Master's degree"
"t_120","KU Leuven","Biomedical Sciences","Master's degree"
"t_120","KU Leuven","Biomedische wetenschappen (Biomedical Sciences)","Bachelorgraad"
"t_121","Katholieke Universiteit Leuven","Electrical and Electronics Engineering","Doctor of Philosophy (Ph.D.)"
"t_121","Université Joseph Fourier (Grenoble I)","Nanotechnology","Master of Science (MSc)"
"t_121","Grenoble INP - Phelma","Engineering Physics","Engineer's degree"
"t_122","University of Leuven","Business/Managerial Economics","Doctor of Philosophy (PhD)"
"t_122","University of Leuven",NA,"Master of Business Engineering"
"t_122","University of Leuven",NA,"Bachelor of Business Engineering"
"t_123","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_123","Saint Petersburg State University","International Trade","Central Student Exchange Program"
"t_123","University of Hamburg","Volkswirtschaftslehre","Bachelor of Science - BS"
"t_124","KU Leuven","Statistics and Data Science","Master's degree"
"t_124","Universidad Católica de Colombia","Management - Production ","Bachelor´s Degree in Industrial Engineeringl (April 10 - April de 2015)"
"t_125","Terra.do",NA,"Climate Change: Learning for Action"
"t_125","KU Leuven","Statistics","Master of Science (MSc)"
"t_125","Jacobs University Bremen","International Logistics Engineering and Management","Bachelor of Science (BSc)"
"t_126","University of Leuven","Statistics","Master’s Degree"
"t_126","The University of Birmingham","Economics","Bachelor of Science (BSc)"
"t_126","Slough Grammar School","Internation Baccaulaureate",NA
"t_127","KU Leuven","Economics","Doctor of Philosophy - PhD"
"t_127","Antwerp Management School",NA,"Masterclass Innovatieve Arbeidsorganisatie"
"t_127","NYU Stern School of Business","Industrial Economics","Visiting PhD scholar"
"t_128","KU Leuven","Statistics","Master of Science - MS"
"t_128","Johann Wolfgang Goethe-Universität Frankfurt am Main","Economics & Business Administration","Bachelor of Science - BS"
"t_129","Universität Wien","Physics","Doctor of Philosophy (PhD)"
"t_129","Katholieke Universiteit Leuven","Theoretical and Mathematical Physics","Master of Science (MSc)"
"t_130","KU Leuven","European Public Policy & Management","MSc of Business Administration | MBA"
"t_130","Arteveldehogeschool","International Business Management","Bachelor's degree"
"t_130","Kookmin University","International Business","Bachelor of Business Administration - BBA"
"t_131","KU Leuven","Statistics and Data Science","Master's degree"
"t_131","Universiteti i Tiranës","Business Informatics","Bachelor's degree"
"t_132","Katholieke Universiteit Leuven","Statistics","Master's Degree"
"t_132","Erasmus University Rotterdam","Biomedical Sciences, General","Doctor of Philosophy (Ph.D.)"
"t_132","Universiteit Utrecht","Biomolecular Science","Msc"
"t_133","KU Leuven","Statistics (specialization Biometrics)","Master of Science (MSc)"
"t_133","University of Groningen","Econometrics & Operations Research","Bachelor of Science (BSc)"
"t_133","Eindhoven University of Technology","Bouwkunde",NA
"t_134","Udacity","Self driving car engineer","Nanodegree"
"t_134","University of Leuven","Artificial Intelligence","Master's degree"
"t_134","Cairo University","Computer Science","B.S"
"t_135","KU Leuven","Statistics and Data Science ▪ Social & Behavioral Data Analysis Profile","Master's Degree"
"t_135","Università degli Studi di Padova","Psychology","Erasmus Semester"
"t_135","Sabanci University","Psychology","Minor Degree"
"t_136","KU Leuven","Intellectual Property & ICT Law","Master of Laws - LLM"
"t_136","Xiamen University","Intellectual Property Law","Summer School"
"t_136","Renmin University of China","International Business, Trade, and Tax Law","Exchange"
"t_137","KU Leuven","Artificial Intelligence","Master of Science - MS"
"t_137","Katholieke Universiteit Leuven","Business Engineering (Handelsingenieur)","Master of Science - MS"
"t_137","Udacity","Artificial Intelligence","Deep Learning nanodegree"
"t_138","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_138","KU Leuven","Economics and Business Administration","Exchange Semester"
"t_138","University of Southern Denmark","Economics and Business Administration","Bachelor of Science"
"t_139","KU Leuven","Biometry/Biometrics","master of statistic and data science"
"t_139","Université libre de Bruxelles","Economics","research master in economics and econometrics"
"t_139","KU Leuven","Economics","Bachelor of Science - BS"
"t_140","KU Leuven","Statistics and Data Science","Master of Science - MS"
"t_140","Northeast Forestry University","Econometrics and Quantitative Economics","Bachelor's degree"
"t_141","University of Leuven","Statistics","Master of Science (MSc)"
"t_141","Athens University of Economics and Business",NA,"Bachelor of Business Administration (B.B.A.)"
"t_142","KU Leuven","Statistics and Data Science Biometric track","Master of Science - MS"
"t_142","KU Leuven","Revalidation Science and Kinesiology","Bachelor of Science - BS"
