"employee_id","summary"
"t_80","An experienced Business Data Analyst in several industries such as Insurance, Banking, Technology Consulting & FMCG through working at the market-leading insurance company in Belgium, AG Insurance & one of the Big 4 consulting firms, PriceWaterhouseCoopers (PwC).

Main skills are Data Analysis (cleaning, wrangling & synthesizing), Data Visualization, Data Modelling, SQL, Power BI, DAX & Alteryx, Sales, Tech consulting & Project Management. 

Holder of a Master's degree in Business Information Management & a Bachelor's degree of Business Administration from KU Leuven University with an Erasmus Exchange semester at Kedge Business School. Fluent in Arabic, English, French & Spanish which facilitates communication with different clients and cultures. 

In addition to having a Business-Technical oriented profile, my hobbies are travelling, learning new languages & cultures, surfing, dancing and getting out of my comfort zone."
"t_81","Me = f(minimalism, digital marketing, data-driven decisions, numerical storyteller)
I am a professional bridging data science and marketing management. I solve business problems and approach opportunities in a solid customer-centric, results-oriented, data-driven way. I’d like to act straightforwardly and efficiently.
Proficient in digital marketing, performance marketing, online advertising, business reporting, data analysis, marketing data modeling, web analytics, personalized advertising, and ROI optimization. I am experienced in marketing project management, agency management, and budget management.
I am looking for a position blending (digital) marketing and data analysis as a specialist, a management consultant, or at a junior managerial level. I am ready to oversee budgets, KPIs, competition, digital transformation, and team management."
"t_82",NA
"t_83","Data lover with a passion for obtaining interesting and meaningful insight based on complex data, putting all puzzles together, and creating story-telling. Always eager for challenging projects that foster further personal development and have a significant impact on business. 

Experiences with real-life data science projects thanks to real cases during studies followed by jobs in two companies and participating in extensive data science projects. I was able to take a significant part in projects and deliver results that are in production nowadays, helping companies to improve business decisions, better understand customers, and sales and forecast future events for better planning. 

Some of my end-to-end projects:

Customers' Conversion Model - What's the probability a customer would buy an offered product?
Competitors' Prices Models - Model to estimate the pricing policies of competitors and predict their prices
Outlier's detection in Time Series + App - Unusual values may be valuable and informative but also harmful
Improvement of efficiency in customers' call center - What causes repeated calls and how to improve that?

Proficiency in:

Python
R
SQL"
"t_84","As a statistician I aim to obtain valid insights through simple and complex analysis alike. At the same time, my background in business economics helps me to identify the value in real-world applications."
"t_85","Data Analyst at Worldline. MSc in Economics (cand.polit.). Master’s student in statistics and data science at KU Leuven. Avid reader. 

My current ambition is to educate myself as much as I can manage.

For more information, visit my website: www.LasseWinding.com.

Now, enjoy this brag sheet."
"t_86","My interests lie in computer technology, data science and programming. My strength lies in combining the mathematical/technical insights of engineering with computer science. One example is evaluating the complexity of advanced algorithms and making them faster or more efficient.
The aspect I like the most about my engineering studies, are the projects. During these projects, I really find ways to make use of my programming skills. For example, I worked in a team of engineers developing a prosthesis arm. My contribution was to make the arm remote controllable through an application on a phone. This year, I started my master in the fascinating field of machine learning and data science. I specifically like big data and statistics.
A healthy mind in a healthy body is my life motto. I work out almost every day and eat as healthy as possible, effectively trying to be the best version of myself. This gives me motivation to work hard for my goals.
I am eager to learn new things and willing to follow online courses or own research for any missing, required skills prior to the start of my contract.
"
"t_87",NA
"t_88","I am statistician and development economist with a background in political science. I have training in frequentist and Bayesian statistical methods, as well as statistics applied to the social sciences. I strive to make the world a better place with the use of statistics on policy and economic research for poverty alleviation."
"t_89",NA
"t_90","Experienced Data Scientist and Machine Learning Engineer with a demonstrated history of working in the computer software industry. Skilled in Software Development, Statistical Inference, Bayesian Statistics. Strong engineering professional with a Master of Science (M.Sc.) focused in Machine Learning and Deep Learning. Experience with front-end and back-end development and data visualization."
"t_91","Gemotiveerd om meer over data te leren. Momenteel ben ik aan het werk als Data Engineer bij Ordina. Voorheen werkte ik data analist binnen Marketing Analytics en FMCG. Ik heb een MSc titel in Statistics."
"t_92","Reading psychology books, doing digital art, making data analyses on my karting races, studying how existentialism is expressed through a videogame, etc.

Last-year Statistics and Data Science student, Information System Trainee at European Central Bank, graduated in Mathematics for Engineering at Polytechnic of Turin. 
I am a simple guy with a strong theoretical and quantitative background, passionate about cooking, getting interesting and useful insights from raw data, and game development."
"t_93","Software engineer specialising in machine learning and big data technologies. Strong believer in data-driven methodologies and continuous improvement. Interested in design thinking and human-centered machine learning. Always seeking to grow my knowledge and explore new approaches to problem solving."
"t_94",NA
"t_95","Microsoft Azure certified Data Scientist with experience in Machine Learning/Deep Learning, work experience as a Data Engineer, and a background in theoretical psychology and Neuroscience. Transforming data into insights/value is what triggers me. An active learner and listener who enjoys stepping out of his comfort zone."
"t_96",NA
"t_97",NA
"t_98",NA
"t_99",NA
"t_100","I'm curious by nature and from early on I was interested to learn how things work. Curiosity combined with broad interests led me to study computer science, mathematical engineering (with a data mining focus) and economics before embarking on a PhD in economics.
This interdisciplinary background allows me to approach problems from different perspectives. During my PhD, I learned to work independently, goal oriented and accurate. I am a team player, helpful and have broad interests. I attach much value to personal development, independence and intellectual challenges.

I'm energized by challenges at the intersection of data and IT and aim for solutions firmly backed by empirical evidence.

I'm happy to connect with like-minded individuals alike."
"t_101","Experienced Data Consultant with a demonstrated history of working in the information services industry. Skilled in Python, Data Analysis, R, and SAS Programming. Strong information technology professional with a Master's degree focused in Statistics from University of Leuven."
"t_102",NA
"t_103","I am currently a student at the Catholic University of Leuven where I am doing a master in statistics and data science after having done a bachelor in political science.
Outside of the classroom I have several professional experiences in companies, including a position as a counsellor in over-indebtedness and specific cases at Cofidis in Tournai, a position as a tutor in statistics for young university students and recently a student job in a AI & BI company named Nemeon."
"t_104","Highly motivated statistician with a passion for uncovering insights through quantitative analysis. Skilled in using tools such as R and Python to drive data-driven decision making. Proven track record of delivering accurate predictions, uncovering causal relationships and optimizing processes in various projects. Dedicated to improving the efficiency and presentation of solutions to provide actionable insights for clients."
"t_105","Experienced AI Engineer with a demonstrated history of working in a fast-paced agile SaaS industry.
Skilled in Computer Vision, Natural Language Processing and proficient in Python programming."
"t_106","A data science researcher and practitioner with twelve years of diverse analytical experience, including that in research, healthcare, finance, software and consumer goods industries. Analytics manager with rich experience in establishing and maintaining international and cross-functional collaborations. A data science lecturer with eight years of diverse teaching practice."
"t_107",NA
"t_108","Although I started my studies as a Civil Engineer , my genuine love for Probability theory led me to study Statistics and Data Science. 
I enjoy incorporating engineering methodology into data analytics problems!"
"t_109","As a data scientist with a background in data-driven research, I enjoy turning numbers and complex data into meaningful insights. I am a productive team player with a result-driven mindset and am looking for new opportunities to combine my coding and research skills in a challenging environment."
"t_110","Experienced data scientist with a passion for statistics & IT. I always try to uncover the story behind the data using innovative tools and creative visualisations. My work has always focused on bringing different sectors and scientific disciplines together."
